yardline_100,ydstogo,td_prob,fg_prob,opp_td_prob,opp_fg_prob,no_score_prob,ep,n
19.0,3.0,0.032814007,0.86722153,0.030731728,0.01808867,0.05053523,2.56209,20
19.0,4.0,0.027481554,0.8871569,0.033571668,0.019096153,0.032198276,2.5614586,13
19.0,5.0,0.025829026,0.88957834,0.033669747,0.018931761,0.031472858,2.5570166,35
19.0,6.0,0.026276885,0.8849294,0.030359728,0.019466765,0.038413,2.5677993,16
19.0,7.0,0.029059915,0.881883,0.031915233,0.018962448,0.037603907,2.568901,15
19.0,8.0,0.021744195,0.9051683,0.03723265,0.0200148,0.015355902,2.5468976,9
19.0,9.0,0.02145292,0.906166,0.036716927,0.02141275,0.013763611,2.5472856,15
19.0,10.0,0.020468343,0.8734341,0.018040618,0.011890368,0.07579713,2.6016085,23
19.0,11.0,0.022421615,0.9048425,0.03499027,0.021296166,0.01594202,2.5624406,8
19.0,12.0,0.022306208,0.8963355,0.033412255,0.0190393,0.028417151,2.5539227,14
19.0,13.0,0.015430171,0.902788,0.032141555,0.01792699,0.031318527,2.5374393,6
19.0,14.0,0.020402443,0.9030402,0.032405272,0.019871946,0.0237957,2.5653317,9
19.0,15.0,0.01163393,0.89874196,0.02014637,0.010930522,0.05828533,2.603783,4
19.0,16.0,0.02017668,0.9055039,0.034387346,0.020700723,0.018751951,2.5547862,12
19.0,17.0,0.017648315,0.90347576,0.026230453,0.019754047,0.03248192,2.5911152,6
19.0,18.0,0.01220323,0.88296163,0.017999064,0.01277376,0.07369826,2.5699248,5
19.0,19.0,0.01995611,0.8924558,0.029382868,0.016202861,0.041508418,2.5629237,12
20.0,1.0,0.20373727,0.6424726,0.047771946,0.03798644,0.06681363,2.9059746,30
20.0,2.0,0.062914014,0.8337683,0.03409268,0.025604047,0.042963475,2.6264567,21
20.0,3.0,0.021786612,0.8760346,0.02686439,0.020195374,0.05465833,2.5318942,20
20.0,4.0,0.036041312,0.8652,0.038178895,0.02311046,0.036851995,2.511405,22
20.0,5.0,0.026003052,0.8826432,0.036778446,0.021406353,0.032633193,2.508201,23
20.0,6.0,0.02928468,0.86683595,0.034293488,0.022068266,0.046930533,2.4993627,28
20.0,7.0,0.021594917,0.89291984,0.036922745,0.021599313,0.026447129,2.506484,16
20.0,8.0,0.025021482,0.8785009,0.03736362,0.022666924,0.035889473,2.4809783,22
20.0,9.0,0.02725511,0.87620836,0.03892153,0.023756005,0.03323875,2.4757237,9
20.0,10.0,0.020800425,0.8742172,0.025435323,0.017177233,0.06195572,2.5387142,19
20.0,11.0,0.028626466,0.83913857,0.034019817,0.019001842,0.07843512,2.4228776,7
20.0,12.0,0.016460044,0.88864195,0.029051196,0.018596765,0.04683791,2.5219343,8
20.0,13.0,0.027639482,0.8950425,0.043701522,0.025712404,0.0072834506,2.4954128,7
20.0,14.0,0.017297883,0.88783896,0.028642494,0.016593596,0.049212582,2.5342324,5
20.0,15.0,0.018645229,0.892754,0.03728491,0.022326514,0.028494291,2.4805868,3
20.0,16.0,0.021456271,0.8922214,0.037781764,0.021419259,0.026653638,2.4980047,6
20.0,17.0,0.025919281,0.8952648,0.042176917,0.026225178,0.009778753,2.4930167,3
20.0,18.0,0.023572847,0.89762866,0.046548218,0.024536584,0.007156638,2.4582887,2
20.0,19.0,0.04229012,0.7444883,0.009664163,0.018260222,0.18462329,2.4071467,1
20.0,20.0,0.02541933,0.8719641,0.033991687,0.022202186,0.04579597,2.489355,10
21.0,1.0,0.25770515,0.54189223,0.061352067,0.04418989,0.09342527,2.868342,29
21.0,2.0,0.041674946,0.8472248,0.03913491,0.02432902,0.046991587,2.486371,22
21.0,3.0,0.03765104,0.85073984,0.042136174,0.02702408,0.041745428,2.4398913,20
21.0,4.0,0.042962346,0.817439,0.03587775,0.022222016,0.080785796,2.4354727,13
21.0,5.0,0.03896313,0.8389427,0.04247265,0.025711784,0.053193025,2.4152184,15
21.0,6.0,0.022180445,0.86895734,0.0384973,0.02483519,0.044960316,2.4181943,21
21.0,7.0,0.033960555,0.848464,0.03560378,0.021593427,0.059703413,2.4692605,17
21.0,8.0,0.024410754,0.8788219,0.04423306,0.02515028,0.0268249,2.4220996,16
21.0,9.0,0.024828788,0.8806424,0.043312654,0.02706552,0.023572557,2.4312418,16
21.0,10.0,0.014722765,0.86481637,0.022644304,0.013840454,0.0835717,2.4975135,25
21.0,11.0,0.018787598,0.87635034,0.035113953,0.021148307,0.048148822,2.451203,12
21.0,12.0,0.029578546,0.88099504,0.051838767,0.028638022,0.008280211,2.4010398,6
21.0,13.0,0.022868257,0.87795705,0.04214828,0.023457095,0.03303706,2.42829,5
21.0,14.0,0.010859673,0.87399006,0.019308995,0.017117988,0.07838384,2.511367,5
21.0,15.0,0.032612436,0.8350827,0.041608978,0.024548179,0.06538515,2.3687336,14
21.0,16.0,0.025328362,0.8662598,0.0351107,0.021794751,0.050904203,2.4648383,6
21.0,17.0,0.021202331,0.8800072,0.036971137,0.022877328,0.038374897,2.4607627,6
21.0,18.0,0.022411488,0.8780506,0.051084634,0.028765002,0.01913736,2.3470213,1
21.0,19.0,0.018247584,0.8753087,0.043125093,0.020256672,0.04238438,2.390431,2
21.0,20.0,0.011720992,0.8722409,0.02119409,0.014821276,0.07967199,2.5057256,4
21.0,21.0,0.023595124,0.8657732,0.036220264,0.025255855,0.04850632,2.4333858,9
22.0,1.0,0.24252985,0.55413055,0.059309825,0.041680325,0.10098635,2.8207824,30
22.0,2.0,0.049986124,0.84175146,0.04433213,0.028435478,0.034788027,2.4795089,17
22.0,3.0,0.05885654,0.81649494,0.048187844,0.02946747,0.046039175,2.4358723,14
22.0,4.0,0.03952648,0.8407394,0.047844112,0.027342737,0.04383415,2.3820212,22
22.0,5.0,0.030488804,0.8630441,0.049244042,0.028050821,0.028476741,2.3735223,23
